league,id,minute,result,X,Y,understat_xg,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction,status,distanceToGoal,angleToGoal,xgboost_xg,logrec_xg,gradboost_xg,ensemble_xg,isGoal,isGoalBool
Bundesliga,24339,11,SavedShot,0.903000030517578,0.238999996185303,0.0341180078685284,Thomas Müller,h,224,OpenPlay,2014,RightFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Philipp Lahm,Chipped,0.0,20.4627875162484,10.422177446027,0.023140829,0.0385490289123907,0.0219303594492639,0.0279801624282709,Not Goal,False
Bundesliga,24340,17,SavedShot,0.851999969482422,0.277000007629395,0.0309405568987131,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Philipp Lahm,Pass,0.0,21.7126364096335,13.9469786211565,0.025273535,0.0444310399619307,0.0277945301101858,0.0326190159879363,Not Goal,False
Bundesliga,24342,26,BlockedShot,0.803000030517578,0.277000007629395,0.021718442440033,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Holger Badstuber,Chipped,0.0,25.6479233604223,13.222477511097,0.023381585,0.0241048683096716,0.0238790976674861,0.023791680701555,Not Goal,False
Bundesliga,24343,28,SavedShot,0.870999984741211,0.324000015258789,0.0503453575074673,Thomas Müller,h,224,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,,None,0.0,18.0748462667578,17.5606757078755,0.04305205,0.051710311973435,0.0411094617685788,0.0453548062500687,Not Goal,False
Bundesliga,24344,29,SavedShot,0.918000030517578,0.530999984741211,0.111078195273876,Robert Lewandowski,h,227,OpenPlay,2014,RightFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Gianluca Gaudino,Chipped,0.0,8.86429379288991,44.0370392900743,0.3182482,0.3086057292532899,0.3102589144503884,0.3123333060446074,Not Goal,False
Bundesliga,24345,33,BlockedShot,0.854000015258789,0.699000015258789,0.0714722648262978,Juan Bernat,h,414,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Mario Götze,TakeOn,0.0,20.4480782216551,15.4966473187136,0.049964864,0.0695210832550826,0.0448339583774854,0.0549207795158373,Not Goal,False
Bundesliga,24346,36,Goal,0.95,0.435,0.556236088275909,Thomas Müller,h,224,OpenPlay,2014,RightFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Arjen Robben,Pass,1.0,6.86286383370674,48.7490775914853,0.47498405,0.4427241548331077,0.4710671157072335,0.4627231091806018,Goal,True
Bundesliga,24347,42,MissedShots,0.895,0.663000030517578,0.0367467179894447,Mario Götze,h,422,FromCorner,2014,RightFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Arjen Robben,Cross,0.0,15.6334809624387,19.2567758037904,0.03042996,0.0358578014510114,0.0331714126891753,0.0331801056213702,Not Goal,False
Bundesliga,24348,46,Goal,0.870999984741211,0.520999984741211,0.458962798118591,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Robert Lewandowski,Pass,1.0,13.6200678940851,29.9453613821702,0.20004033,0.1603417117367991,0.2363681894953023,0.1985309909032797,Goal,True
Bundesliga,24350,54,BlockedShot,0.818000030517578,0.369000015258789,0.049055740237236,Philipp Lahm,h,218,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Arjen Robben,Pass,0.0,21.0842221351436,17.9755275201158,0.05078046,0.0542571224246835,0.0546958427292975,0.0532546031683732,Not Goal,False
Bundesliga,24351,56,SavedShot,0.853000030517578,0.382000007629395,0.351744413375854,Robert Lewandowski,h,227,OpenPlay,2014,RightFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,David Alaba,Throughball,0.0,17.3960827129608,21.3376245395012,0.25493604,0.2038049436770441,0.2298313006459658,0.2292669039752022,Not Goal,False
Bundesliga,24354,69,SavedShot,0.723000030517578,0.634000015258789,0.0436965450644493,David Alaba,h,391,DirectFreekick,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,,Standard,0.0,30.478937014148,13.0906415922699,0.03684685,0.0405272146645436,0.0324313087141104,0.0366410460171351,Not Goal,False
Bundesliga,24358,82,BlockedShot,0.77,0.420999984741211,0.0185887943953276,Arjen Robben,h,392,FromCorner,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Sebastian Rode,TakeOn,0.0,24.740268695953,16.450658648743,0.027728155,0.0288709850221721,0.0283839496097084,0.0283331300717906,Not Goal,False
Bundesliga,24360,87,SavedShot,0.906999969482422,0.650999984741211,0.244508340954781,Xherdan Shaqiri,h,888,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Holger Badstuber,Pass,0.0,14.169936142156,20.8791757520378,0.14804733,0.1151386711245319,0.1206511448576838,0.1278176473530695,Not Goal,False
Bundesliga,24361,89,ShotOnPost,0.848000030517578,0.632999992370605,0.355052411556244,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Sebastian Rode,Chipped,0.0,18.3443567435128,19.877959336008,0.08168089,0.0625882801360007,0.0755722066898341,0.0731735371736301,Not Goal,False
Bundesliga,24362,90,MissedShots,0.898000030517578,0.639000015258789,0.0944644808769226,Thomas Müller,h,224,OpenPlay,2014,RightFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Arjen Robben,BallTouch,0.0,14.2844095074901,22.3530839819244,0.11026524,0.0887720057614002,0.1199461003836767,0.1061522243096467,Not Goal,False
Bundesliga,24363,91,SavedShot,0.908000030517578,0.744000015258789,0.0413897000253201,Juan Bernat,h,414,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Xherdan Shaqiri,Pass,0.0,19.1992196852813,11.2584764616118,0.022276612,0.0518758693202967,0.018776277912195,0.0311852493326209,Not Goal,False
Bundesliga,24338,10,BlockedShot,0.784000015258789,0.285,0.0200507845729589,Sebastian Jung,a,156,OpenPlay,2014,RightFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Kevin De Bruyne,Pass,0.0,26.983823437857,13.0767615606225,0.019782875,0.0267383710708842,0.0206692494611431,0.0224402476138983,Not Goal,False
Bundesliga,24341,21,SavedShot,0.81,0.367000007629395,0.0294964723289013,Vieirinha,a,151,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Kevin De Bruyne,Chipped,0.0,21.904255901901,17.3857747180464,0.0501572,0.0405380273462189,0.0543522390717812,0.0482710446320465,Not Goal,False
Bundesliga,24349,51,Goal,0.828000030517578,0.305,0.0353492349386215,Ivica Olic,a,303,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Vieirinha,Pass,1.0,22.405157537028,15.1399989812744,0.037275895,0.0432350903313908,0.0364958774609052,0.0390446166760338,Goal,True
Bundesliga,24352,57,SavedShot,0.818000030517578,0.693000030517578,0.019528191536665,Kevin De Bruyne,a,447,OpenPlay,2014,RightFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Ivica Olic,Chipped,0.0,23.1825668984185,14.9459411573502,0.041998588,0.0344092898913172,0.0426115225878863,0.0396204956531902,Not Goal,False
Bundesliga,24353,62,MissedShots,0.781999969482422,0.565999984741211,0.0338372699916363,Daniel Caligiuri,a,157,OpenPlay,2014,RightFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Kevin De Bruyne,Pass,0.0,23.3258307758048,17.5222043804879,0.049549934,0.0449409194275324,0.0540570165742457,0.0494702062491909,Not Goal,False
