league,id,minute,result,X,Y,understat_xg,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction,status,distanceToGoal,angleToGoal,xgboost_xg,logrec_xg,gradboost_xg,ensemble_xg,isGoal,isGoalBool
EPL,309897,15,MissedShots,0.883000030517578,0.713000030517578,0.0537791661918163,Andrew Robertson,h,1688,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Divock Origi,Pass,0.0,18.9923000814409,14.5162689494736,0.041838635,0.0591434551928669,0.0364801320160632,0.045953968397454,Not Goal,False
EPL,309898,18,Goal,0.933000030517578,0.367000007629395,0.366816878318787,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Roberto Firmino,Pass,1.0,11.4579713095658,23.5965381011817,0.16280736,0.1596030296369944,0.1666181672985176,0.1629754562674402,Goal,True
EPL,309901,27,Goal,0.921999969482422,0.510999984741211,0.105315513908863,Virgil van Dijk,h,833,FromCorner,2019,Head,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Mohamed Salah,Cross,1.0,8.22408991530053,47.8630181426359,0.14635432,0.1161050268305002,0.1252829908712014,0.1291160245156282,Goal,True
EPL,309902,30,SavedShot,0.878000030517578,0.555,0.112044155597687,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Trent Alexander-Arnold,Cross,0.0,13.3447974096527,29.6560878377094,0.09808211,0.0981835558196511,0.1110194683410284,0.1023859326077302,Not Goal,False
EPL,309904,41,Goal,0.890999984741211,0.53,0.258252263069153,Divock Origi,h,484,OpenPlay,2019,Head,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Trent Alexander-Arnold,Chipped,1.0,11.625388667642,34.531362683321,0.10889664,0.1224683412073866,0.0917815266834635,0.1078630334708777,Goal,True
EPL,309905,46,BlockedShot,0.848000030517578,0.694000015258789,0.0457283854484558,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Andrew Robertson,Pass,0.0,20.7062886363847,15.7097425652767,0.037589382,0.0521107070243312,0.0364958774609052,0.0421657767318993,Not Goal,False
EPL,309906,47,SavedShot,0.875,0.53,0.126691028475761,Jordan Henderson,h,605,OpenPlay,2019,RightFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Divock Origi,Cross,0.0,13.282591049942,30.510965816549,0.099954285,0.1061570980781901,0.1069289295475969,0.1043648762180592,Not Goal,False
EPL,309907,47,ShotOnPost,0.964000015258789,0.542000007629394,0.685405075550079,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Trent Alexander-Arnold,Pass,0.0,4.73762882156833,71.8893155551374,0.6337947,0.6843490284098185,0.7683458390032175,0.6953850629135712,Not Goal,False
EPL,309908,53,MissedShots,0.88,0.339000015258789,0.0779922530055046,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Fabinho,BallRecovery,0.0,16.6918747083952,19.1752487665385,0.13548014,0.1281727861367624,0.1240319479314084,0.1292177357720845,Not Goal,False
EPL,309909,54,BlockedShot,0.849000015258789,0.417999992370605,0.105521664023399,Jordan Henderson,h,605,OpenPlay,2019,RightFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Mohamed Salah,Pass,0.0,16.8069258337373,23.3315439328615,0.10572791,0.1021475796335427,0.1005732415978987,0.1028095589213367,Not Goal,False
